job,number,place,pub_time,title
技术类,5,深圳,2019-04-28,22989-腾讯云网络产品架构师
技术类,2,深圳,2019-04-28,22989-高级运维工程师
产品/项目类,1,上海,2019-04-28,32032-资深游戏策划师（上海）
设计类,1,上海,2019-04-28,29923-天天P图交互设计师（上海）
技术类,1,北京,2019-04-28,CSIG16-地图导航后台开发工程师(北京)
技术类,2,深圳,2019-04-28,22989-运营开发高级工程师
设计类,1,上海,2019-04-28,15573-MMORPG_UE4手游高级技术美术（上海）
设计类,1,深圳,2019-04-28,30934-海外市场用户研究数据分析（深圳）
市场类,1,深圳,2019-04-28,27087-营销增长高级经理
技术类,2,深圳,2019-04-28,22989-专有云后台开发高级工程师（深圳、上海）
技术类,1,深圳,2019-04-28,CSIG02-腾讯云医疗行业解决方案架构师（北京/上海/深圳）（深圳总部）
技术类,1,上海,2019-04-28,CSIG02-腾讯云医疗行业解决方案架构师（北京/上海/深圳）（上海）
技术类,1,深圳,2019-04-28,GY0-【国际业务部】Android开发工程师（深圳）
产品/项目类,1,北京,2019-04-28,CSIG16-车联网产品经理（车主服务&4S店新零售）
技术类,1,北京,2019-04-28,CSIG16-腾讯地图iOS客户端高级开发工程师
技术类,1,北京,2019-04-28,CSIG02-腾讯云医疗行业解决方案架构师（北京/上海/深圳）（北京）
技术类,1,上海,2019-04-28,CSIG02-腾讯云教育行业方案架构师（上海）
市场类,1,深圳,2019-04-28,30934-海外游戏用户洞察高级经理（深圳）
职能类,1,深圳,2019-04-28,21530-腾讯音乐-高管秘书
技术类,1,深圳,2019-04-28,PCG17-web前端开发工程师（深圳）
产品/项目类,1,深圳,2019-04-28,27730-短视频产品经理（深圳/北京）
内容编辑类,1,北京,2019-04-28,16810-版权引入编辑（北京）
技术类,2,深圳,2019-04-28,15571-后台开发工程师（深圳）
产品/项目类,2,上海,2019-04-28,30621-腾讯广告合约广告投放平台产品经理（上海）
产品/项目类,1,上海,2019-04-28,30361-天天P图相机类产品策划岗（上海）
市场类,1,深圳,2019-04-28,19837-数据营销经理
技术类,3,长沙,2019-04-28,25664-政务售前规划架构师（长沙）
产品/项目类,1,北京,2019-04-28,23671-企鹅号策略产品经理（北京）
职能类,1,深圳,2019-04-28,21530-腾讯音乐HRBP(深圳）
产品/项目类,1,上海,2019-04-28,30361-腾讯视频工具客户端策划岗（上海）
技术类,1,北京,2019-04-28,CSIG16-自动驾驶仿真模拟系统-传感器仿真工程师
职能类,1,深圳,2019-04-28,S2-CDG风险管理经理(深圳）
内容编辑类,1,北京,2019-04-28,24547-体育营销顾问（北京）
产品/项目类,1,北京,2019-04-28,32270-综艺艺人统筹
技术类,1,深圳,2019-04-28,TME-全民K歌 iOS开发工程师
技术类,3,北京,2019-04-28,CSIG16-组合惯导高级算法工程师
市场类,1,深圳,2019-04-28,23294-互娱品牌经理（深圳）
,1,北京,2019-04-28,14914-战略媒体管理高级公关经理（北京）
设计类,1,北京,2019-04-28,31677-腾讯智能翻译高级交互设计师（北京）
技术类,1,北京,2019-04-28,CSIG16-多模GNSS定位算法高级工程师
技术类,2,北京,2019-04-28,CSIG16-差分GNSS定位算法高级工程师
技术类,3,长沙,2019-04-28,25664-政务应用交付架构师
职能类,1,北京,2019-04-28,FWZ-诉讼律师（北京）
技术类,1,深圳,2019-04-28,15605-射击手游客户端开发（深圳）
职能类,1,深圳,2019-04-28,HGJ-senior legal counsel（AM）（深圳总部）
技术类,1,深圳,2019-04-28,15569-横版射击手游后台开发工程师（深圳）
产品/项目类,1,深圳,2019-04-28,28481-肿瘤医学知识库高级经理
产品/项目类,1,上海,2019-04-28,15963-音频策划（上海）
技术类,1,深圳,2019-04-28,15605-高级引擎开发工程师（深圳）
职能类,1,上海,2019-04-28,HGJ-senior legal counsel（AM）（上海）
设计类,1,深圳,2019-04-28,15571-资深3D角色专家（深圳）
产品/项目类,1,深圳,2019-04-28,28600-微信支付商户管理高级产品运营经理（深圳）
技术类,1,上海,2019-04-28,30361-iOS开发工程师
技术类,1,北京,2019-04-28,CSIG16-自动驾驶软件工程师
设计类,1,上海,2019-04-28,24987-3D美术关卡
市场类,1,北京,2019-04-28,30624-腾讯广告华北快消策划广告策划（北京）
市场类,1,北京,2019-04-28,17759-腾讯视频数据分析师
产品/项目类,1,深圳,2019-04-28,30360-社交产品平台项目经理
技术类,1,北京,2019-04-28,CSIG16-自动驾驶系统工程师
设计类,1,上海,2019-04-28,24987-UI视觉设计师(上海）
技术类,1,北京,2019-04-28,CSIG16-自动驾驶仿真模拟系统-高级Web前端交互开发工程师
技术类,1,北京,2019-04-28,CSIG16-自动驾驶仿真模拟系统-UE4开发工程师
产品/项目类,1,深圳,2019-04-28,TME-全民K歌平台运营（深圳）
产品/项目类,1,北京,2019-04-28,CSIG16-自动驾驶云平台数据产品经理
技术类,2,北京,2019-04-28,CSIG16-自动驾驶高精地图（后台）
技术类,1,北京,2019-04-28,CSIG16-自动驾驶仿真模拟系统-高级Web前端开发工程师
技术类,1,北京,2019-04-28,CSIG16-自动驾驶仿真模拟系统-服务器工程师
市场类,1,上海,2019-04-28,30624-腾讯广告零售行业KA广告销售经理（上海）
技术类,2,北京,2019-04-28,CSIG16-腾讯自动驾驶云平台数据挖掘工程师
技术类,1,北京,2019-04-28,CSIG16-自动驾驶高精地图（前端）
技术类,2,北京,2019-04-28,CSIG16-自动驾驶高精地图（点云算法）
产品/项目类,1,北京,2019-04-28,30623-腾讯广告联盟效果广告运营经理（北京）
技术类,1,深圳,2019-04-28,31871-运营开发高级工程师 
产品/项目类,1,深圳,2019-04-28,21228-社区内容运营（深圳）
产品/项目类,1,深圳,2019-04-28,28601-213 微信支付行业应用产品经理（深圳）
产品/项目类,2,深圳,2019-04-28,27560-高级游戏策划（深圳）
产品/项目类,1,北京,2019-04-28,22090-信息流平台热点类产品运营
技术类,1,北京,2019-04-28,WXG08-121 微信小程序商业算法工程师(广州/北京)
市场类,1,深圳,2019-04-28,PCG22-经营分析
市场类,1,北京,2019-04-28,29925-腾讯视频综艺内容营销（北京）
产品/项目类,1,深圳,2019-04-28,19511-海外项目经理（深圳）
市场类,1,深圳,2019-04-28,21882-智慧医药业务拓展经理（深圳总部）
技术类,2,北京,2019-04-28,CSIG16-车联网容器云高级开发工程师
产品/项目类,1,深圳,2019-04-28,18402-MMORPG韩语海外PM（深圳）
技术类,2,深圳,2019-04-28,30359-灯塔Java后台开发工程师
市场类,1,北京,2019-04-28,21882-智慧医药业务拓展经理（北京）
技术类,1,上海,2019-04-28,32032-资深UE4前端开发工程师（上海）
产品/项目类,1,深圳,2019-04-28,15569-手游运营经理（深圳）
产品/项目类,1,北京,2019-04-28,CSIG16-自动驾驶项目经理(北京)
技术类,1,上海,2019-04-28,21882-智慧医药解决方案架构师（上海）
技术类,1,深圳,2019-04-28,21882-智慧医药解决方案架构师（深圳总部）
技术类,1,深圳,2019-04-28,TEG05-安全运营工程师（深圳）
产品/项目类,1,深圳,2019-04-28,15569-横版射击手游商业化运营策划（深圳）
技术类,2,上海,2019-04-28,30361-移动端AI软件工程师
技术类,2,深圳,2019-04-28,PCG15-互动视频iOS开发工程师(深圳)
技术类,1,深圳,2019-04-28,TEG05-高级反入侵安全工程师（深圳）
技术类,2,深圳,2019-04-28,TEG09-存储管理平台开发工程师
技术类,1,深圳,2019-04-28,GY0-【国际业务部】推荐算法资深工程师(深圳) 
技术类,1,深圳,2019-04-28,TME-推荐引擎与机器学习后台高级工程师
技术类,1,深圳,2019-04-28,PCG15-互动视频Android开发工程师(深圳)
技术类,1,深圳,2019-04-28,TEG05-数据安全架构师（深圳）
技术类,3,上海,2019-04-28,30361-语义分割算法研究员
技术类,2,上海,2019-04-28,30361-计算机视觉算法研究员
技术类,1,上海,2019-04-28,30361-SLAM算法工程师
技术类,2,深圳,2019-04-28,TEG18-机械设计工程师（深圳）
技术类,2,上海,2019-04-28,30361-人脸3D建模算法研究员
技术类,1,上海,2019-04-28,30361-人脸算法研发工程师
技术类,1,上海,2019-04-28,30361-移动安全研发工程师
技术类,3,上海,2019-04-28,30361-图像美化算法研究员
市场类,1,深圳,2019-04-28,HY5-Gaming-新兴市场商务分析师
技术类,1,深圳,2019-04-28,PCG04-短视频高级iOS开发工程师（深圳）
产品/项目类,1,深圳,2019-04-28,30361-社交类创新产品用户运营经理
技术类,2,深圳,2019-04-28,TEG18-电子电路工程师（深圳）
技术类,2,深圳,2019-04-28,TEG18-感知算法工程师（深圳）
技术类,1,北京,2019-04-28,CSIG16-车联网网络运维高级工程师
产品/项目类,1,深圳,2019-04-28,30361-社交类创新产品高级运营经理
技术类,1,北京,2019-04-28,CSIG16-车联网安全服务高级工程师
技术类,2,深圳,2019-04-28,TEG18-系统控制研究员（深圳）
技术类,2,北京,2019-04-28,CSIG16-车联网存储云高级开发工程师
技术类,1,北京,2019-04-28,CSIG16-车联网运营高级开发工程师
技术类,1,北京,2019-04-28,CSIG16-车联网DevOps高级开发工程师
设计类,1,上海,2019-04-28,15616-资深2D原画设计师
技术类,1,深圳,2019-04-28,PCG17-后台开发高级工程师（深圳）
内容编辑类,1,北京,2019-04-28,27730-腾讯视频短视频项目制片人
